,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,ExterQual_Ex,ExterQual_TA,BsmtQual_Ex,BsmtFinType1_GLQ,KitchenQual_Ex,KitchenQual_TA,FireplaceQu_nan,GarageFinish_Fin,GarageFinish_Unf
33,5,1959,1959,0.0,1018,1398,1700,1700,1,6,1,1959.0,2,447,0,1,0,0,0,0,0,0,0
34,9,2005,2005,246.0,1153,1561,1561,1561,2,6,1,2005.0,2,556,1,0,1,1,1,0,0,1,0
35,8,2004,2005,132.0,0,1117,1132,2452,3,9,1,2004.0,3,691,0,0,1,0,0,0,0,1,0
36,5,1994,1995,0.0,0,1097,1097,1097,1,6,0,1995.0,2,672,0,1,0,0,0,1,1,0,1
37,5,1954,1990,650.0,1213,1297,1297,1297,1,5,1,1954.0,2,498,0,1,0,0,0,1,0,1,0
38,5,1953,2007,0.0,731,1057,1057,1057,1,5,0,1953.0,1,246,0,1,0,1,0,0,1,0,1
39,4,1955,1955,0.0,0,0,1152,1152,2,6,0,1978.5061638868744,0,0,0,1,0,0,0,0,1,0,0
40,6,1965,1965,101.0,643,1088,1324,1324,2,6,1,1965.0,2,440,0,1,0,0,0,1,0,0,0
41,5,1959,1959,0.0,967,1350,1328,1328,1,5,2,1959.0,1,308,0,1,0,0,0,1,0,0,0
42,5,1983,1983,0.0,747,840,884,884,1,5,0,1983.0,2,504,0,1,0,0,0,0,1,0,0
43,5,1975,1980,0.0,280,938,938,938,1,5,0,1977.0,1,308,0,1,0,0,0,1,1,0,1
44,5,1959,1959,0.0,179,1150,1150,1150,1,6,0,1959.0,1,300,0,1,0,0,0,1,1,0,0
45,9,2005,2005,412.0,456,1752,1752,1752,2,6,1,2005.0,2,576,1,0,1,1,1,0,0,0,0
46,7,2003,2003,0.0,1351,1434,1518,2149,1,6,1,2003.0,2,670,0,0,1,1,0,0,0,0,0
47,8,2006,2006,0.0,24,1656,1656,1656,2,7,0,2006.0,3,826,0,0,0,1,0,0,1,0,0
48,4,1920,2008,0.0,0,736,736,1452,2,8,0,1978.5061638868744,0,0,0,1,0,0,0,1,1,0,0
49,5,1966,1966,0.0,763,955,955,955,1,6,0,1966.0,1,386,0,1,0,0,0,1,1,0,1
50,6,1997,1997,0.0,182,794,794,1470,2,6,0,1997.0,2,388,0,1,0,1,0,1,1,1,0
51,6,1934,1950,0.0,0,816,816,1176,1,6,1,1985.0,2,528,0,1,0,0,0,1,0,0,1
52,5,1963,1963,0.0,104,816,816,816,1,5,0,1963.0,2,516,0,0,0,0,0,1,1,0,1
53,9,1981,1987,0.0,1810,1842,1842,1842,0,5,1,1981.0,3,894,0,0,1,1,0,0,0,1,0
54,5,1955,1955,0.0,384,384,1360,1360,1,6,1,1962.0,2,572,0,1,0,0,0,1,0,0,1
55,6,1964,1964,272.0,490,1425,1425,1425,2,7,1,1964.0,2,576,0,1,0,0,0,1,0,0,0
56,8,1999,2000,456.0,649,970,983,1739,2,7,0,1999.0,2,480,0,0,0,1,0,0,1,1,0
57,7,2004,2004,0.0,0,860,860,1720,2,7,0,2004.0,2,565,0,0,0,0,0,0,1,0,0
58,10,2006,2006,1031.0,0,1410,1426,2945,3,10,1,2006.0,3,641,1,0,1,0,0,0,0,1,0
59,5,1972,1972,0.0,632,780,780,780,1,4,0,1973.0,1,352,0,1,0,0,0,1,1,0,1
60,6,2004,2004,0.0,941,1158,1158,1158,1,5,0,2006.0,2,576,0,1,0,0,0,0,1,0,1
61,5,1920,1996,0.0,0,530,581,1111,1,6,0,1935.0,1,288,0,1,0,0,0,0,1,0,1
62,8,2006,2006,178.0,24,1370,1370,1370,2,6,1,2006.0,2,484,0,0,0,1,0,0,0,0,0
63,7,1921,1950,0.0,0,576,902,1710,2,9,0,1990.0,2,480,0,1,0,0,0,1,1,0,1
64,7,1997,1998,573.0,739,1057,1057,2034,2,8,0,1998.0,2,645,0,1,0,1,0,0,1,0,0
65,8,2004,2005,344.0,0,1143,1143,2473,2,9,1,2004.0,3,852,0,0,1,0,0,0,0,0,0
66,7,1970,1989,287.0,912,1947,2207,2207,2,7,1,1970.0,2,576,0,1,0,1,0,1,0,0,0
67,7,2003,2003,167.0,1013,1453,1479,1479,2,7,0,2003.0,2,558,0,0,0,1,0,0,1,0,0
68,4,1945,1950,0.0,0,747,747,747,1,4,0,1945.0,1,220,0,1,0,0,0,1,1,0,1
69,7,1953,1953,0.0,603,1304,1304,2287,2,7,1,1953.0,2,667,0,0,0,0,0,1,0,1,0
70,7,1973,1973,1115.0,1880,2223,2223,2223,2,8,2,1973.0,2,516,0,1,0,0,0,1,0,1,0
71,4,1982,2006,0.0,565,845,845,845,1,4,0,1987.0,2,360,0,1,0,0,0,1,1,0,1
72,7,1998,1998,40.0,0,832,885,1718,2,7,1,1998.0,2,427,0,1,0,0,0,1,0,1,0
73,5,1954,2003,104.0,320,1086,1086,1086,1,6,0,1989.0,2,490,0,1,0,0,0,1,1,0,1
74,3,1915,1950,0.0,0,840,840,1605,2,8,0,1915.0,1,379,0,0,0,0,0,1,1,0,1
75,4,1973,1973,0.0,462,462,526,988,1,5,0,1973.0,1,297,0,1,0,1,0,1,1,0,1
76,4,1956,1956,0.0,228,952,952,952,1,4,0,1956.0,1,283,0,1,0,0,0,1,1,0,1
77,5,1948,2001,0.0,336,672,1072,1285,1,6,0,1948.0,1,240,0,1,0,0,0,1,1,0,1
78,4,1968,1968,0.0,0,1768,1768,1768,2,8,0,1978.5061638868744,0,0,0,1,0,0,0,1,1,0,0
79,5,1910,1981,0.0,0,440,682,1230,1,5,0,1966.0,2,440,0,1,0,0,0,1,1,0,1
80,6,1968,1968,576.0,448,896,1182,2142,2,8,1,1968.0,1,509,0,1,0,0,0,0,0,1,0
81,6,1998,1998,443.0,1201,1237,1337,1337,2,5,0,1998.0,2,405,0,1,1,1,0,1,1,1,0
82,8,2007,2007,468.0,33,1563,1563,1563,2,6,1,2007.0,3,758,0,1,0,1,0,0,0,0,0
83,5,1960,1960,66.0,0,1065,1065,1065,1,6,0,1974.0,2,461,0,1,0,0,0,1,1,0,1
84,7,1995,1996,22.0,0,384,804,1474,2,7,1,1995.0,2,400,0,1,0,0,0,1,0,1,0
85,8,1991,1992,284.0,0,1288,1301,2417,2,9,1,1991.0,2,462,0,0,0,0,0,0,0,0,1
86,6,2005,2005,0.0,0,684,684,1560,2,6,1,2005.0,2,400,0,0,0,0,0,0,0,1,0
87,6,2009,2009,76.0,0,612,612,1224,2,4,0,2009.0,2,528,0,0,0,0,0,0,1,0,0
88,3,1915,1982,0.0,0,1013,1013,1526,1,6,0,1978.5061638868744,0,0,0,0,0,0,0,0,1,0,0
89,4,1994,1995,0.0,588,990,990,990,1,5,0,1978.5061638868744,0,0,0,1,0,1,0,1,1,0,0
90,4,1950,1950,0.0,0,0,1040,1040,1,4,0,1950.0,2,420,0,1,0,0,0,1,1,0,1
91,5,1961,1961,203.0,600,1235,1235,1235,1,6,0,1961.0,2,480,0,1,0,0,0,1,1,0,1
92,5,1921,2006,0.0,713,876,964,964,1,5,0,1921.0,2,432,0,1,0,0,0,1,1,0,1
93,6,1910,1998,0.0,1046,1214,1260,2291,2,9,1,1900.0,2,506,0,1,0,0,0,1,0,0,1
94,6,1997,1997,0.0,648,824,905,1786,2,7,0,1997.0,2,684,0,1,0,1,0,0,1,0,0
95,6,1993,1993,68.0,310,680,680,1470,2,6,1,1993.0,2,420,1,0,0,0,0,1,0,1,0
96,7,1999,1999,183.0,1162,1588,1588,1588,2,6,0,1999.0,2,472,0,0,0,0,0,0,1,0,0
97,4,1965,1965,48.0,520,960,960,960,1,6,0,1965.0,1,432,0,1,0,0,0,1,1,1,0
98,5,1920,1950,0.0,108,458,835,835,1,5,0,1920.0,1,366,0,1,0,0,0,1,1,0,1
99,4,1959,1959,0.0,569,950,1225,1225,1,6,0,1978.5061638868744,0,0,0,1,0,0,0,1,1,0,0
100,6,1977,2001,28.0,1200,1610,1610,1610,2,6,2,1977.0,2,480,0,1,0,0,0,0,0,0,0
101,6,1985,1985,336.0,0,741,977,1732,2,7,1,1985.0,2,476,0,0,0,0,0,0,0,1,0
102,5,1979,1979,0.0,0,0,1535,1535,2,8,0,1979.0,2,410,0,1,0,0,0,1,1,0,1
103,7,2009,2009,0.0,0,1226,1226,1226,2,6,0,2009.0,3,740,0,1,0,0,0,0,1,0,0
104,7,1931,1950,600.0,224,1040,1226,1818,1,7,2,1951.0,1,240,0,1,0,0,0,1,0,0,1
105,8,2003,2004,768.0,0,1053,1053,1992,2,9,1,2003.0,2,648,0,0,1,0,0,0,0,0,0
106,4,1885,1995,0.0,0,641,1047,1047,1,6,0,1954.0,1,273,0,1,0,0,0,1,1,0,1
107,5,1948,1950,0.0,104,789,789,789,1,5,0,1948.0,1,250,0,1,0,0,0,1,1,0,1
108,5,1919,2005,0.0,0,793,997,1517,2,7,0,1978.5061638868744,0,0,0,1,0,0,0,0,1,0,0
109,6,1977,1977,480.0,705,1844,1844,1844,2,7,1,1977.0,2,546,0,1,0,0,0,1,0,0,0
110,6,1954,1972,0.0,444,994,1216,1855,2,7,0,1954.0,1,325,0,1,0,0,0,1,1,0,1
111,7,2000,2000,0.0,250,384,774,1430,2,7,1,2000.0,2,400,0,1,0,1,0,1,0,1,0
112,7,2007,2007,220.0,984,1264,1282,2696,2,10,1,2007.0,3,792,0,0,1,1,1,0,0,1,0
113,6,1953,1953,184.0,35,1809,2259,2259,2,7,2,1953.0,2,450,0,1,0,0,0,0,0,0,1
114,6,1945,2002,0.0,774,1028,1436,2320,2,9,1,1945.0,1,180,0,1,0,0,0,0,0,0,1
115,6,1999,1999,1129.0,419,729,729,1458,2,5,1,1999.0,2,440,0,1,0,1,0,1,0,0,1
116,5,1962,1962,116.0,170,1092,1092,1092,1,6,1,1962.0,1,288,0,1,0,0,0,1,0,0,1
117,5,2006,2007,0.0,0,1125,1125,1125,1,5,0,2007.0,2,430,0,1,0,0,0,1,1,0,1
118,7,1990,1990,0.0,1470,1673,1699,3222,3,11,2,1990.0,3,594,0,1,0,1,0,0,0,0,1
119,6,2005,2006,0.0,0,728,728,1456,2,8,1,2005.0,2,390,0,0,0,0,0,0,0,1,0
120,6,1969,1969,0.0,938,938,988,988,1,4,2,1969.0,2,540,0,1,0,0,0,1,0,0,1
121,4,1939,1950,0.0,0,732,772,1123,1,4,0,1979.0,1,264,0,1,0,0,0,1,1,0,1
122,6,1958,1958,135.0,570,1080,1080,1080,1,5,0,1958.0,1,288,0,1,0,0,0,1,1,0,1
123,6,1993,1993,0.0,300,1199,1199,1199,2,5,0,1993.0,2,530,0,0,0,1,0,0,1,0,0
124,6,1979,1998,0.0,0,1362,1586,1586,2,7,1,1979.0,2,435,0,1,0,0,0,1,0,0,1
125,6,1935,1982,0.0,490,520,520,754,1,5,0,1978.5061638868744,0,0,0,1,0,1,0,1,1,0,0
126,6,1976,1976,0.0,120,1078,958,958,2,5,1,1977.0,2,440,0,1,0,0,0,1,0,0,0
127,5,1930,1950,0.0,116,672,840,840,1,5,1,1978.5061638868744,0,0,0,1,0,0,0,1,0,0,0
128,6,1966,1966,266.0,512,660,660,1348,1,6,1,1966.0,2,453,0,1,0,0,0,1,0,0,0
129,5,1958,1991,85.0,567,1008,1053,1053,1,6,0,1998.0,2,750,0,1,0,0,1,0,1,0,0
130,7,1966,1966,309.0,445,924,1216,2157,2,8,2,1966.0,2,487,0,1,0,0,0,0,0,1,0
131,6,2000,2000,40.0,695,992,1022,2054,2,7,1,2000.0,2,390,0,0,0,1,0,0,0,0,0
132,5,1959,2002,0.0,405,1063,1327,1327,1,7,0,1974.0,2,624,0,1,0,0,0,0,1,0,1
133,8,2001,2002,136.0,1005,1267,1296,1296,2,6,0,2001.0,2,471,0,0,1,1,0,0,1,1,0
134,5,1968,1993,0.0,570,1461,1721,1721,2,7,1,1968.0,2,440,0,1,0,0,0,1,0,0,0
135,7,1970,1970,288.0,0,1304,1682,1682,2,7,1,1970.0,2,530,0,1,0,0,0,1,0,0,1
136,5,1967,1967,196.0,695,1214,1214,1214,2,5,1,1967.0,1,318,0,1,0,0,0,1,0,0,0
137,7,1988,1989,70.0,0,1907,1959,1959,3,9,0,1989.0,3,766,0,1,0,0,0,1,1,0,1
138,8,1999,2000,320.0,668,1004,1004,1852,2,7,2,1999.0,3,660,0,0,0,1,0,0,0,1,0
139,6,1997,1997,0.0,821,928,928,1764,2,7,0,1997.0,2,470,0,1,0,1,0,0,1,0,0
140,4,1971,1971,0.0,432,864,864,864,1,5,1,1978.5061638868744,0,0,0,1,0,0,0,1,0,0,0
141,7,2005,2005,0.0,1300,1734,1734,1734,2,7,0,2005.0,2,660,0,0,0,1,0,0,1,1,0
142,5,1952,1952,0.0,507,910,910,1385,2,6,0,2000.0,2,720,0,1,0,0,0,1,1,0,1
143,7,1999,1999,183.0,679,1490,1501,1501,2,6,0,1999.0,2,577,0,0,0,1,0,0,1,0,0
144,5,1963,1963,336.0,1332,1728,1728,1728,2,10,0,1963.0,2,504,0,1,0,0,0,1,1,0,1
145,6,2004,2006,50.0,0,970,970,1709,2,7,0,2004.0,2,380,0,0,0,0,0,0,1,0,1
146,5,1931,1993,0.0,209,715,875,875,1,5,0,1931.0,1,180,0,1,0,0,0,1,1,0,1
147,7,2001,2001,180.0,0,884,884,2035,2,8,1,2001.0,2,434,0,0,0,0,0,0,0,1,0
148,7,2004,2005,120.0,680,1080,1080,1080,1,6,0,1978.5061638868744,0,0,0,1,0,1,0,0,1,0,0
149,5,1936,1950,0.0,0,896,896,1344,1,7,0,1936.0,1,240,0,1,0,0,0,1,1,0,1
150,5,1975,1975,0.0,716,969,969,969,1,5,0,1975.0,2,440,0,1,0,0,0,1,1,0,1
151,8,2007,2008,436.0,1400,1710,1710,1710,2,6,1,2007.0,3,866,0,0,1,1,0,0,0,0,0
152,6,1971,1971,252.0,416,825,1097,1993,2,8,1,1971.0,2,495,0,1,0,0,0,1,0,0,0
153,6,1960,1975,0.0,429,1602,1252,1252,1,4,1,1960.0,2,564,0,1,0,0,0,1,0,0,0
154,6,1923,1950,0.0,0,1200,1200,1200,1,7,0,1923.0,1,312,0,1,0,0,0,1,1,0,1
155,6,1924,1950,0.0,0,572,572,1096,1,5,0,1978.5061638868744,0,0,0,1,0,0,0,1,1,0,0
156,5,1950,1950,0.0,0,0,1040,1040,1,5,0,1950.0,2,625,0,1,0,0,0,1,1,0,1
157,8,2009,2010,84.0,0,774,774,1968,2,8,1,2009.0,3,680,0,0,1,0,1,0,0,1,0
158,7,2004,2005,0.0,222,991,991,1947,2,8,1,2004.0,2,678,0,0,0,1,0,0,0,0,0
159,7,2005,2006,456.0,57,1392,1392,2462,2,9,1,2006.0,2,576,0,0,0,1,0,0,0,0,0
160,6,1984,1984,0.0,660,1232,1232,1232,2,6,0,1984.0,2,516,0,1,0,0,0,1,1,0,1
161,9,2003,2004,664.0,1016,1572,1572,2668,2,10,2,2003.0,3,726,0,0,1,1,1,0,0,1,0
162,7,2005,2005,226.0,1201,1541,1541,1541,2,7,1,2005.0,2,532,0,0,0,0,0,0,0,0,0
163,4,1956,1956,0.0,0,882,882,882,1,4,0,1978.5061638868744,0,0,0,1,0,0,0,1,1,0,0
164,6,1926,2004,0.0,370,1149,1149,1616,2,5,0,1926.0,1,216,0,1,0,0,0,0,1,0,1
165,5,1940,1999,0.0,351,644,808,1355,2,6,0,1978.5061638868744,0,0,0,1,0,0,0,1,1,0,0
166,5,1955,1993,0.0,379,1617,1867,1867,1,7,3,1955.0,1,303,0,0,0,0,0,1,0,1,0
167,8,2007,2007,300.0,1288,1582,1610,2161,1,8,1,2007.0,3,789,0,0,1,1,1,0,0,1,0
168,7,2004,2004,0.0,0,840,840,1720,2,7,1,2004.0,2,440,0,0,0,0,0,0,0,1,0
169,8,1981,1981,653.0,0,1686,1707,1707,2,6,1,1981.0,2,511,0,0,0,0,0,1,0,0,0
170,5,1941,1950,0.0,360,720,854,1382,1,7,0,1991.0,2,660,0,1,0,0,0,1,1,0,1
171,6,1960,1960,112.0,639,1080,1656,1656,1,7,2,1960.0,2,528,0,1,0,0,0,1,0,1,0
172,7,1987,1987,0.0,495,1064,1064,1767,2,5,1,1987.0,2,504,0,0,0,1,0,0,0,0,0
173,6,1961,1961,491.0,288,1362,1362,1362,1,6,1,1961.0,2,504,0,1,0,0,0,1,0,0,1
174,6,1986,1986,132.0,1398,1606,1651,1651,2,7,1,1986.0,2,616,0,1,0,0,0,1,0,1,0
175,6,1950,2001,0.0,477,1202,2158,2158,2,7,1,1950.0,2,576,0,1,0,0,0,0,0,0,1
176,6,1988,1989,268.0,831,1151,1164,2060,2,8,1,1988.0,2,521,0,0,0,1,0,1,0,0,1
177,5,1958,1958,0.0,57,1052,1252,1920,2,8,1,1958.0,2,451,0,0,0,0,0,0,0,0,1
178,9,2008,2009,748.0,1904,2216,2234,2234,2,9,1,2009.0,3,1166,1,0,1,1,1,0,0,1,0
179,5,1923,2006,0.0,0,968,968,968,1,5,0,1935.0,2,480,0,0,0,0,0,1,1,0,1
180,6,2000,2000,456.0,436,756,769,1525,2,5,1,2000.0,2,440,0,0,0,1,0,0,0,0,1
181,7,1920,1950,0.0,352,793,901,1802,1,9,1,1920.0,1,216,0,1,0,0,0,1,0,0,1
182,5,1957,2006,98.0,0,0,1340,1340,1,7,1,1957.0,1,252,0,1,0,0,0,1,0,0,0
183,7,2003,2003,0.0,0,1362,1362,2082,2,6,0,2003.0,2,484,0,1,0,0,0,0,1,0,1
184,5,1908,1991,0.0,0,504,936,1252,1,5,0,1986.0,2,576,0,1,0,0,0,1,1,0,1
185,10,1892,1993,0.0,0,1107,1518,3608,2,12,2,1993.0,3,840,0,0,0,0,1,0,0,0,1
186,7,1990,1991,0.0,611,1188,1217,1217,2,6,0,1990.0,2,497,0,1,0,1,0,0,1,0,1
187,5,1916,1987,0.0,0,660,808,1656,2,8,0,1916.0,1,180,0,1,0,0,0,1,1,0,1
188,5,1979,1979,275.0,1086,1086,1224,1224,0,6,2,1979.0,2,528,0,1,0,1,0,1,0,0,1
189,8,2001,2002,0.0,1153,1593,1593,1593,1,5,1,2001.0,2,682,0,0,1,1,1,0,0,1,0
190,8,1932,1994,0.0,297,853,1549,2727,2,10,2,1932.0,2,440,0,0,0,0,0,0,0,0,1
191,7,1972,2004,138.0,626,725,725,1479,1,7,0,1972.0,2,484,0,1,0,0,0,0,1,1,0
192,7,1999,1999,0.0,560,1431,1431,1431,2,6,0,1999.0,2,666,0,0,0,1,0,0,1,1,0
193,7,2004,2004,50.0,0,970,970,1709,2,7,0,2004.0,2,380,0,0,0,0,0,0,1,0,1
194,5,1972,1972,0.0,390,864,864,864,1,5,0,1989.0,1,352,0,1,0,0,0,1,1,0,1
195,6,1976,1976,0.0,566,855,855,1456,2,7,1,1976.0,2,440,0,1,0,0,0,1,0,0,1
196,7,2007,2007,205.0,1126,1726,1726,1726,2,8,1,2007.0,3,786,1,0,1,1,1,0,0,1,0
197,8,1918,1990,0.0,1036,1360,1360,3112,2,8,1,1918.0,2,795,0,0,0,1,0,0,0,0,1
198,6,1912,1950,0.0,0,755,929,2229,1,8,0,1978.5061638868744,0,0,0,1,0,0,0,1,1,0,0
199,8,2004,2005,262.0,1088,1713,1713,1713,2,7,1,2004.0,3,856,0,0,1,1,1,0,0,1,0
200,4,2003,2004,0.0,0,1121,1121,1121,2,5,0,2003.0,2,440,0,1,0,0,0,1,1,0,0
201,6,1977,1977,0.0,641,1196,1279,1279,2,6,2,1980.0,2,473,0,1,0,0,0,1,0,0,1
202,6,1924,1950,0.0,617,617,865,1310,2,6,0,1924.0,1,398,0,1,0,0,0,1,1,0,1
203,6,2004,2004,205.0,662,848,848,848,1,3,1,2004.0,2,420,0,0,0,1,0,0,0,0,0
204,5,1947,1950,0.0,312,720,720,1284,1,5,0,1948.0,1,240,0,1,0,0,0,1,1,0,1
205,7,1990,1990,0.0,0,1424,1442,1442,2,5,0,1990.0,2,500,0,1,0,0,0,1,1,0,0
206,5,1962,1962,0.0,0,1140,1696,1696,1,8,1,1962.0,1,349,0,1,0,0,0,1,0,0,0
207,4,1960,1960,0.0,419,1100,1100,1100,1,6,1,1960.0,1,312,0,1,0,0,0,1,0,0,0
208,7,1988,1989,128.0,1065,1157,1180,2062,2,7,1,1988.0,2,454,0,0,0,1,0,1,0,1,0
209,6,1964,1964,260.0,787,1092,1092,1092,1,6,0,1964.0,2,504,0,1,0,0,0,1,1,0,0
210,5,1925,1950,0.0,468,864,864,864,1,5,0,1978.5061638868744,0,0,0,1,0,0,0,1,1,0,0
211,6,2009,2009,0.0,36,1212,1212,1212,2,6,0,2009.0,2,460,0,1,0,1,0,0,1,0,0
212,7,2009,2009,0.0,822,900,932,1852,2,7,1,2009.0,2,644,0,1,0,1,0,0,0,0,0
213,5,1995,1995,0.0,716,990,990,990,1,5,0,1996.0,2,576,0,1,0,0,0,1,1,0,1
214,6,1977,1977,153.0,378,689,689,1392,1,6,0,1977.0,1,299,0,1,0,1,0,1,1,1,0
215,5,1957,1996,64.0,360,1070,1236,1236,1,6,1,1957.0,1,447,0,1,0,0,0,0,0,0,1
216,7,2004,2004,266.0,946,1436,1436,1436,2,8,0,2004.0,2,484,0,0,0,1,0,0,1,0,1
217,4,1925,1950,0.0,0,686,810,1328,1,8,0,1940.0,1,210,0,1,0,0,0,1,1,0,1
218,7,1939,2006,312.0,341,798,1137,1954,1,8,2,1939.0,2,431,0,0,0,0,0,0,0,0,1
219,7,2005,2006,16.0,16,1248,1248,1248,2,5,0,2005.0,2,438,0,0,0,1,0,0,1,1,0
220,7,2006,2006,0.0,0,1498,1498,1498,2,5,0,2006.0,2,675,0,0,0,0,0,0,1,0,0
221,6,2002,2002,0.0,0,1010,1010,2267,2,8,1,2002.0,2,390,0,0,0,0,0,0,0,0,0
222,6,1975,1975,0.0,550,713,811,1552,2,6,1,1975.0,2,434,0,1,0,0,0,1,0,0,0
223,4,1971,1971,0.0,524,864,864,864,1,4,0,1989.0,2,576,0,1,0,0,0,1,1,0,1
224,10,2003,2003,922.0,56,2392,2392,2392,2,8,1,2003.0,3,968,1,0,1,1,1,0,0,1,0
225,5,1971,1971,142.0,0,630,630,1302,2,6,0,1991.0,1,280,0,1,0,0,0,1,1,0,1
226,7,1995,1995,290.0,565,1203,1214,2520,2,9,1,1995.0,3,721,0,0,0,1,0,0,0,0,0
227,6,1970,1970,127.0,321,483,483,987,1,5,0,1987.0,1,280,0,1,0,0,0,1,1,0,1
228,5,1967,1967,0.0,842,912,912,912,1,5,1,1974.0,1,336,0,1,0,0,0,1,0,0,1
229,7,2005,2006,16.0,16,1373,1555,1555,2,7,1,2005.0,2,430,0,0,0,1,0,0,0,1,0
230,6,1959,1959,220.0,0,1194,1194,1194,1,6,0,1959.0,1,312,0,1,0,0,0,1,1,0,0
231,8,1995,1996,506.0,689,1462,1490,2794,2,9,1,1995.0,3,810,0,0,0,1,1,0,0,1,0
232,6,1972,1972,297.0,0,483,483,987,1,5,1,1972.0,1,288,0,1,0,0,0,1,0,0,1
233,5,1976,1976,0.0,182,894,894,894,1,5,0,1976.0,1,308,0,1,0,0,0,1,1,0,1
234,6,2002,2002,0.0,625,860,860,1960,2,8,2,2002.0,2,440,0,0,0,1,0,0,0,1,0
235,6,1971,1971,604.0,358,483,483,987,1,5,0,1971.0,1,264,0,1,0,0,0,1,1,0,1
